owner_repo,repository,language,topics,stars,forks,watchers,contributors,commits,first_commit,last_commit,pull_requests,issues,created_at,pushed_at,license,archived,disabled
playpauseandstop/rororo,rororo,Python,"aiohttp, aiohttp-server, asyncio, openapi, openapi3, python, python-3, python-3-10, python-3-11, python-3-7, python-3-8, python-3-9, python-library, python3",105,9,5,10,544,2012-10-22 11:08:05+03:00,2024-09-04 11:41:58+02:00,372,44,2012-10-22T08:08:52Z,2024-12-24T00:41:21Z,"BSD 3-Clause ""New"" or ""Revised"" License",False,False
stylelint/stylelint-config-recommended,stylelint-config-recommended,JavaScript,stylelint,393,30,8,18,215,2017-07-01 13:10:00+01:00,2025-05-02 08:15:30+09:00,211,37,2017-07-01T12:10:00Z,2025-07-01T17:59:08Z,MIT License,False,False
babenkoivan/elastic-scout-driver-plus,elastic-scout-driver-plus,PHP,"driver, elastic, elasticsearch, extension, laravel, php, scout",276,55,6,12,288,2020-02-15 13:04:02+01:00,2025-04-16 12:20:50+02:00,26,146,2020-02-15T09:38:03Z,2025-04-16T10:23:10Z,MIT License,False,False
salsita/node-pg-migrate,node-pg-migrate,TypeScript,"api, cockroach, cockroachdb, database, db, db-migrate, expandable, extensible, migrate, migration, migrations, migrator, pg, postgre, postgres, postgresql, programable, programatic, sql",1380,183,14,85,1316,2014-03-13 16:09:22-07:00,2025-05-14 22:05:18+02:00,1057,282,2014-03-13T23:09:22Z,2025-07-09T17:36:12Z,MIT License,False,False
nfrechette/acl,acl,C++,"animation-3d, animation-compression, c-plus-plus, compression, cpp, game-development, game-engine",1445,120,43,16,2475,2017-05-17 16:02:25-04:00,2025-03-30 11:09:08-04:00,278,192,2017-05-17T20:02:25Z,2025-07-08T02:58:03Z,MIT License,False,False
willnorris/imageproxy,imageproxy,Go,imageproxy,3745,492,67,47,445,2013-11-27 08:19:15-08:00,2025-05-01 02:54:36-07:00,223,154,2013-12-06T18:23:16Z,2025-07-01T19:15:14Z,Apache License 2.0,False,False
helmwave/helmwave,helmwave,Go,"chart, helm, helmwave, kubernetes",821,41,13,30,2415,2020-11-02 03:10:31+03:00,2025-05-08 14:26:30+03:00,879,202,2020-11-02T00:09:57Z,2025-07-08T23:24:02Z,MIT License,False,False
ethz-asl/aerial_mapper,aerial_mapper,C++,"colmap, dem, dsm, grid-map, mapping, mosaic, orthomosaic, pix4d, uav",586,162,48,4,252,2017-06-19 14:31:30+02:00,2021-02-22 09:49:13+01:00,17,31,2017-06-19T12:31:30Z,2021-03-15T00:10:53Z,"BSD 3-Clause ""New"" or ""Revised"" License",True,False
uploadcare/uploadcare-widget,uploadcare-widget,JavaScript,"dialog, file, file-upload, file-validation, filepicker, files, image, image-upload, images, store, upload, uploadcare, uploader, validation, widget",230,100,24,84,3453,2012-11-02 13:25:25+02:00,2024-10-03 18:48:26+03:00,813,128,2012-09-06T17:07:04Z,2025-07-08T09:43:11Z,"BSD 2-Clause ""Simplified"" License",False,False
running-coder/nanolooker,nanolooker,TypeScript,"altcoin, blockchain-explorer, cryptocurrency, nano, nanocurrency, raiblocks",94,58,7,36,566,2020-01-19 11:51:51-05:00,2024-04-21 13:06:27-04:00,128,25,2020-01-19T16:29:46Z,2024-05-24T06:56:54Z,MIT License,False,False
